"state_name","state_tax_rate_pct","rank_state_tax_rate_desc","avg_local_tax_rate_pct","combined_tax_rate_pct","rank_combined_tax_rate_desc","max_local_tax_rate_pct"
"Alabama","4","38","4.91","8.91","3","7"
"Alaska","0","46","1.76","1.76","46","7.5"
"Arizona","5.6","28","2.57","8.17","11","5.3"
"Arkansas","6.5","9","2.76","9.26","2","5.5"
"California","7.5","1","0.94","8.44","8","2.5"
"Colorado","2.9","45","4.54","7.44","15","7.1"
"Connecticut","6.35","11","0","6.35","31",""
"Delaware","0","46","0","0","47",""
"District of Columbia","5.75","27","0","5.75","41",""
"Florida","6","16","0.65","6.65","29","1.5"
"Georgia","4","38","2.96","6.96","24","4"
"Hawaii","4","38","0.35","4.35","45","0.5"
"Idaho","6","16","0.01","6.01","36","3"
"Illinois","6.25","12","1.94","8.19","10","3.75"
"Indiana","7","2","0","7","21",""
"Iowa","6","16","0.78","6.78","27","1"
"Kansas","6.15","15","2.05","8.2","9","3.5"
"Kentucky","6","16","0","6","37",""
"Louisiana","4","38","4.91","8.91","4","7"
"Maine","5.5","29","0","5.5","42",""
"Maryland","6","16","0","6","37",""
"Massachusetts","6.25","12","0","6.25","33",""
"Michigan","6","16","0","6","37",""
"Minnesota","6.88","7","0.33","7.2","17","1"
"Mississippi","7","2","0.07","7.07","20","1"
"Missouri","4.23","37","3.58","7.81","14","5"
"Montana","0","46","0","0","47",""
"Nebraska","5.5","29","1.3","6.8","26","2"
"Nevada","6.85","8","1.09","7.94","13","1.25"
"New Hampshire","0","46","0","0","47",""
"New Jersey","7","2","-0.03","6.97","23","3.5"
"New Mexico","5.13","32","2.22","7.35","16","3.56"
"New York","4","38","4.48","8.48","7","4.88"
"North Carolina","4.75","35","2.15","6.9","25","2.75"
"North Dakota","5","33","1.56","6.56","30","3"
"Ohio","5.75","27","1.35","7.1","19","2.25"
"Oklahoma","4.5","36","4.27","8.77","6","6.5"
"Oregon","0","46","0","0","47",""
"Pennsylvania","6","16","0.34","6.34","32","2"
"Rhode Island","7","2","0","7","21",""
"South Carolina","6","16","1.13","7.13","18","2.5"
"South Dakota","4","38","1.83","5.83","40","2"
"Tennessee","7","2","2.45","9.45","1","5"
"Texas","6.25","12","1.8","8.05","12","2"
"Utah","5.95","26","0.73","6.68","28","2.1"
"Vermont","6","16","0.14","6.14","34","1"
"Virginia","5.3","31","0.33","5.63","41","0.7"
"Washington","6.5","9","2.39","8.89","5","3.1"
"West Virginia","6","16","0.07","6.07","35","1"
"Wisconsin","5","33","0.43","5.43","44","1.75"
"Wyoming","4","38","1.47","5.47","43","2"
